TITLE,DOI,Area
Multilevel governance of irrigation systems and adaptation to climate change in Kenya ,10.1007/978-3-319-07548-8_21,CNH
Integrating short- and long-range processes into models: The emergence of pattern,10.1007/978-94-007-5727-1_6,Ecohydrology
"An analysis of structure: biomass structure relationships for characteristic species of the western Kalahari, Botswana",10.1111/aje.12086,Ecohydrology
δ2H Isotopic flux partitioning of evapotranspiration over a grass field following a water pulse and subsequent dry down,10.1002/2013WR014333,Ecohydrology
Modelling vegetation patterns in semiarid environments,10.1016/j.proenv.2013.06.019,Ecohydrology
Deriving vegetation phenological time and trajectory information over Africa using SEVIRI daily LAI,10.1109/TGRS.2013.2247611,Ecohydrology
Continental-scale impacts of intra-seasonal rainfall variability on simulated ecosystem responses in Africa,10.5194/bg-11-6939-2014,Ecohydrology
"Changing water availability during the African maize-growing season, 1979-2010",10.1088/1748-9326/9/7/075005,Ecohydrology
Global synthesis of vegetation control on evapotranspiration partitioning,10.1002/2014GL061439,Ecohydrology
Terrestrial hydrological controls on land surface phenology of African savannas and woodlands,10.1002/2013JG002572,Ecohydrology
Photosynthetic seasonality of global tropical forests constrained by hydroclimate,10.1038/ngeo2382,Ecohydrology
Termite mounds can increase the robustness of dryland ecosystems to climatic change,10.1126/science.1261487,Ecohydrology
Carbon stable isotopes suggest that hippopotamus-vectored nutrients subsidize aquatic consumers in an East African river,10.1890/ES14-00514.1,Ecohydrology
A quantitative description of the interspecies diversity of belowground structure in savanna woody plants,10.1890/ES14-00310.1,Ecohydrology
Dynamic interactions of ecohydrological and biogeochemical processes in water-limited systems,10.1890/ES15-00122.1,Ecohydrology
Warmer and wetter soil stimulates assimilation more than respiration in rainfed agricultural ecosystem on the China Loess Plateau: the role of partially plastic film mulching tillage,10.1371/journal.pone.0136578,Ecohydrology
Soil organic C and total N pools in the Kalahari: potential impacts of climate change on C sequestration in savannas,10.1007/s11104-014-2292-5,Ecohydrology
"Global patterns of the contributions of storm frequency, intensity, and seasonality to inter-annual variability of precipitation",10.1175/JCLI-D-14-00653.1,Ecohydrology
Improved removal of volatile organic compounds for laser-based spectroscopy of water isotopes.,10.1002/rcm.7497,Sensors
Community Water Governance on Mount Kenya: An Assessment Based on Ostrom's Design Principles of Natural Resource Management,10.1659/MRD-JOURNAL-D-15-00040.1,CNH
"A platform for crowdsourcing the creation of representative, accurate landcover maps",10.1016/j.envsoft.2016.01.011,"CNH, Sensors"
A generalized computer vision approach to mapping crop fields in heterogeneous agricultural landscapes,10.1016/j.rse.2016.03.010,Sensors
Explaining inter-annual variability of gross primary productivity from plant phenology and physiology,10.1016/j.agrformet.2016.06.010,Ecohydrology
"Reconciling agriculture, carbon and biodiversity in a savanna transformation frontier",10.1098/rstb.2015.0316,CNH
Modeling ecohydrological dynamics of smallholder strategies for food production in dryland agricultural systems,10.1088/1748-9326/11/11/115005,Ecohydrology
An Ecohydrological Framework to Explain Shifts in Vegetation Organization Across Climatological Gradients,10.1002/eco.1809,Ecohydrology
Dominant role of plant physiology in trend and variability of gross primary productivity in North America,10.1038/srep41366,Ecohydrology
Comparison of multi-level water use efficiency between plastic film partially mulched and non-mulched croplands at eastern Loess Plateau of China,10.1016/j.agwat.2016.06.006,Ecohydrology
Household-level heterogeneity of water resources within common-pool resource systems,10.5751/ES-09156-220148,CNH
Comparison of ET partitioning and crop coefficients between partial plastic mulched and non-mulched maize fields,10.1016/j.agwat.2016.11.016,Ecohydrology
"Triple oxygen isotope composition of leaf waters in Mpala, central Kenya",10.1016/j.epsl.2017.02.015,Ecohydrology
Validation of SMAP surface soil moisture products with core validation sites,10.1016/j.rse.2017.01.021,Remote Sensing
Leaf water 18O and 2H maps show directional enrichment discrepancy in Colocasia esculenta,10.1111/pce.13002,Ecohydrology
Calibration of a parsimonious distributed ecohydrological daily model in a data-scarce basin using exclusively the spatio-temporal variation of NDVI,10.5194/hess-21-6235-2017,Ecohydrology
"Simulated sensitivity of African terrestrial ecosystem photosynthesis to rainfall frequency, intensity, and rainy season length",10.1088/1748-9326/aa9f30,Ecohydrology
Measurements and Observations in the XXI century (MOXXI): innovation and multidisciplinarity to sense the hydrological cycle,10.1080/02626667.2017.1420191,Sensors
"A large‐area, spatially continuous assessment of land cover map error and its impact on downstream analyses",10.1111/gcb.13904,Remote Sensing
The Spatial and Temporal Domains of Modern Ecology,10.1038/s41559-018-0524-4,Ecology
On the Use of Unmanned Aerial Systems for Environmental Monitoring,10.3390/rs10040641,Sensors
Dew-induced transpiration suppression impacts the water and isotope balances of Colocasia leaves,10.1007/s00442-018-4199-y,Ecohydrology
Dew deposition suppresses transpiration and carbon uptake in leaves,10.1016/j.agrformet.2018.05.015,Ecohydrology
Comparing empirical and survey-based yield forecasts in a dryland agro-ecosystem,10.1016/j.agrformet.2018.06.024,CNH
Biophysical effects on soil crack morphology in a faunally active dryland vertisol,10.1016/j.geoderma.2018.07.042,Ecohydrology
A global database of water vapor isotopes measured with high temporal resolution infrared laser spectroscopy,10.1038/sdata.2018.302,Sensors
Cognitive biases about climate variability in smallholder farming systems in Zambia,10.1175/WCAS-D-18-0050.1,CNH
A high-frequency mobile phone data collection approach for research in social-environmental systems: Applications in climate variability and food security in sub-Saharan Africa,10.1016/j.envsoft.2019.05.011,"CNH, Sensors"
The salience of climate change in farmer decision-making within smallholder semi-arid agroecosystems,10.1007/s10584-019-02498-3,CNH
Variability in urban population distributions across Africa,10.1088/1748-9326/ab2432,CNH
Environmental heterogeneity and commodity sharing in smallholder agroecosystems,10.1371/journal.pone.0228021,CNH
"Comparing measures of urban food security in Accra, Ghana",10.1007/s12571-020-01011-4,CNH
Smallholder farmers' use of mobile phone services in central Kenya,10.1080/17565529.2020.1748847,CNH
Accounting for training data error in machine learning applied to Earth observations,10.31223/osf.io/7zsyr,Sensors
Effects of crack morphology on soil carbon flux dynamics in a dryland vertisol,10.1016/j.geoderma.2020.114478,Ecohydrology
Geographic Object-Based Image Analysis Framework for Mapping Vegetation Physiognomic Types at Fine Scales in Neotropical Savannas,10.3390/rs12111721,Sensors
Dynamics of population growth in secondary cities across southern Africa,10.1007/s10980-020-01086-6,CNH
Climate sensitivity of water use by riparian woodlands at landscape scales,10.1002/hyp.13942,Ecohydrology
Farmer Forecasts: Impacts of Seasonal Rainfall Expectations on Agricultural Decision-Making in Sub-Saharan Africa,10.1016/j.crm.2020.100247,CNH
Deforestation-induced warming over tropical mountain regions regulated by elevation,10.1038/s41561-020-00666-0,Ecohydrology
Mapping research topics at multiple levels of detail,10.1016/j.patter.2021.100210,Misc
Has the vision of a gender quota been realized for community-based water management committees in Kenya?,10.1016/j.worlddev.2020.105154,CNH
Challenges and opportunities in precision irrigation decision-support systems for center pivots ,10.1088/1748-9326/abe436,Sensors
Field-scale soil moisture bridges the spatial-scale gap between drought monitoring and agricultural yields,10.5194/hess-2020-364-supplement,Ecohydrology
Vegetation responses to climatic and geologic controls on water availability in Arizona,10.1088/1748-9326/abfe8c,Ecohydrology
Drought onset and propagation into soil moisture and grassland vegetation responses during the 2012–2019 major drought in Southern California,10.5194/hess-25-3713-2021,Ecohydrology
Global urban population exposure to extreme heat,10.1073/pnas.2024792118,CNH
Consequences of dryland maize planting decisions under increased seasonal rainfall variability,10.1029/2020WR029362,"Ecohydrology, CNH"
Perceived Links between Climate Change and Weather Forecast Accuracy: New Barriers to Tools for Agricultural Decision-making,10.1007/s10584-021-03207-9,CNH
Mapping global inputs and impacts from of human sewage in coastal ecosystem,10.1371/journal.pone.0258898,CNH
"High Resolution, annual maps of the characteristics of smallholder-dominated croplands at national scales",10.3389/frai.2021.744863,CNH
Direct partitioning of eddy-covariance water and carbon dioxide fluxes into ground and plant components,10.1016/j.agrformet.2021.108790,Ecohydrology
Using real-time mobile phone data to characterize the relationships between small-scale farmers' planting dates and socio-environmental factors,10.1016/j.crm.2022.100396,CNH
High resolution spatiotemporal patterns of flow at the landscape scale in montane non-perennial streams,10.1002/rra.4076,Ecohydrology
Smallholder social networks: Advice seeking and adaptation in rural Kenya,10.1016/j.agsy.2022.103574,CNH
Modeling seasonal vegetation phenology from hydroclimatic drivers for contrasting plant functional groups within drylands of the Southwestern USA,10.1088/2752-664X/acb9a0,Ecohydrology
"Fluxbots: A method for building, deploying, collecting and analyzing data from a network of inexpensive, autonomous soil carbon flux chambers",10.1029/2023JG007451,Sensors
Integrating fine root diameter and watershed mapping to characterize rhizosphere hydrology,10.1016/j.rhisph.2023.100738,"Ecohydrology, Sensors"
How much control do smallholder maize farmers have over yield?,10.1016/j.fcr.2023.109014,CNH
Evapotranspiration regulates leaf temperature and respiration in dryland vegetation,10.1016/j.agrformet.2023.109560,Ecohydrology
Potential impacts of transportation infrastructure improvements to maize and cassava supply chains in Zambia,10.1088/2634-4505/ad04e4,CNH
Estimating fine-scale transpiration from UAV-derived thermal imagery and atmospheric profiles,10.1029/2023WR035251,"Ecohydrology, Sensors"
"Fluxbot: The Next Generation-Design and Validation of a Wireless, Open-Source Mechatronic CO2 Flux Sensing Chamber",10.1145/3674829.3675063,Sensors
Field-scale crop water consumption estimates reveal potential water savings in California agriculture,10.1038/s41467-024-46031-2,Ecohydrology
Establishing ecological thresholds and targets for groundwater management,10.1038/s44221-024-00221-w,Ecohydrology
A river runs through it: robust automated mapping of riparian woodlands and land surface phenology across dryland regions,10.1016/j.rse.2024.114056,Ecohydrology
Groundwater-dependent ecosystem map exposes global dryland protection needs ,10.1038/s41586-024-07702-8,Ecohydrology
Drivers of spatiotemporal patterns of riparian forest NDVI along a hydroclimatic gradient,10.1002/eco.2729,Ecohydrology
Using hyperspectral and thermal imagery to monitor stress of Southern California plant species during the 2013–2015 drought,10.1016/j.isprsjprs.2025.01.015,"Ecohydrology, Sensors"
Commitment to advance excellence and inclusion in the Earth and space sciences scholarly publications,10.1029/2025AV001726,Misc
Nonlinear soil moisture loss function reveals vegetation responses to water availability,10.1029/2024GL111403,Ecohydrology
Ecological and hydroclimatic determinants of vegetation water-use strategies,10.1038/s41559‑025‑02810‑8,Ecohydrology
Five Lessons for Closing the Last Mile: How to Make Climate Decision Support Actionable,10.1029/2024EF005799,CNH
Wind stress effects on drone-based thermal infrared surface velocimetry measurements of tidal flow in an estuary,10.1029/2024WR038287,Sensors
Co-regulation of water use and canopy temperature in desert trees,10.1016/j.agrformet.2025.110929,Ecohydrology
Shifts in evapotranspiration components during heatwaves alter surface cooling,10.1029/2025EF006562,Ecohydrology
A hybrid Penman-Monteith and machine learning model for simulation evapotranspiration and its components,10.1016/j.jhydrol.2026.134985,Ecohydrology
[ Shadman’s Thermal Scaling Paper ] ,,"Ecohydrology, Sensors"
[ Huck’s Channel Migration Paper ],,Ecohydrology
[ Zoe’s Intercropping Paper ] ,,CNH
[ Emma’s Coupled Hydraulics Paper ],,Ecohydrology
[ Mike’s Tetiaroa Paper ],,"Ecohydrology, Sensors"
[ Bryn’s Tetiaroa Paper ] ,,"Ecohydrology, Sensors"
[ Sitian’s Field Mapping Paper ] ,,CNH
[ Anna’s Smallholder Irrigation Paper ] ,,CNH
[ Narjes’s Co-occurring Droughts and Floods Paper ],,CNH
[ Pratyush’s Flood Mapping Paper ] ,,
Estimating whole-tree sap flow in buttressed and irregular trunks,,"Ecohydrology, Sensors"
Changing population and climate threaten irrigated African agriculture,,CNH
When and where does storage matter for plants: the effect of root zone water storage capacity on evapotranspiration,,Ecohydrology
Leveraging ground measurements to evaluate satellite-based crop phenology in smallholder farming systems,,"Ecohydrology, Sensors"
Low-cost autochambers enable high spatial & temporal resolution monitoring of CO2 exchange across landscapes,,"Ecohydrology, Sensors"
